video name,BD-rate PSNR,BD-Rate VMAF,BD-Rate MS-SSIM,speed up
Construction_Field.yuv 3840x2160 (300 frames),4.796755672136244,4.341751995276533,4.6225506225337165,77.69512241284048
Netflix_FoodMarket2 4096x2160 (300 frames),4.3528134556624964,4.745064017418321,8.227741816856128,74.664288384912
IntraValid_4928x3264 (25 frames),2.2186162481679705,2.5207475848527228,2.5010570952999966,80.31921220390186
Rush_Hour.yuv_3840x2160 (300 frames),4.412502517950423,4.328469163421378,4.146127860640569,81.87372323539356
Scarf.yuv 3840x2160 (253 frames),3.2171027501465055,3.301812112282021,3.355195992518345,79.68898087317484
Netflix_BoxingPractice_4096x2160_60fps_8bit_420.yuv (150 frames),6.724394214328222,6.939317238325482,6.779089698768015,75.61440336209884
Netflix_Boat_4096x2160_60fps_8bit_420.yuv (120 frames),2.680581799205406,2.789779677424886,2.8275863579841243,78.40856357142314
Netflix_Narrator_4096x2160_60fps_8bit_420.yuv (120 frames),5.837522956417396,5.708236219625307,5.8161163540277006,78.83849415519336
Netflix_Tango_4096x2160_60fps_8bit_420.yuv (100 frames),6.190725584545986,5.830845286969555,5.898971542555831,79.2793836651183
Average,4.492335022062294,4.500669255066246,4.908270815687159,78.48690798489515
