video name,BD-rate PSNR,BD-Rate VMAF,BD-Rate MS-SSIM,speed up wrt CNN,speed up wrt HEVC
Construction_Field.yuv 3840x2160 (300 frames),3.3067582496773884,2.463895339974642,3.1224598760193567,7.172650146583072,79.29497324779105
Netflix_FoodMarket2 4096x2160 (300 frames),2.916252917974771,2.9966993965709676,6.581964467426005,8.075069910611008,76.71016481018114
IntraValid_4928x3264 (25 frames),1.20752322311104,1.3502460370821812,1.3641282827123735,6.373847150851633,81.5736355361086
Rush_Hour.yuv_3840x2160 (300 frames),2.658279349875836,2.2544332310211246,2.30927061426327,1.1938635745163635,82.09012625110222
Scarf.yuv 3840x2160 (253 frames),1.9899359001277483,1.8738861956735908,2.0448333430038046,3.249234887715197,80.34893359269415
Netflix_BoxingPractice_4096x2160_60fps_8bit_420.yuv (150 frames),3.677836583057159,3.6073852728895295,3.857931039224649,7.605336666093016,77.46901008444668
Netflix_Boat_4096x2160_60fps_8bit_420.yuv (120 frames),1.6287635462914674,1.5647869689242588,1.5660538243594369,5.357616944230472,79.56535002802333
Netflix_Narrator_4096x2160_60fps_8bit_420.yuv (120 frames),3.30803168014544,3.092449208535153,3.5159561460840427,4.360047571560112,79.7611458768854
Netflix_Tango_4096x2160_60fps_8bit_420.yuv (100 frames),3.8841068642703203,3.4200268878427753,3.6428002168651386,2.0084283408076216,79.69554239597808
Average,2.730832034947908,2.5137565042793586,3.1117108677731196,5.0440105769965,79.61209798035674
